Time,Left,Right,Diff
17.319,6053.175,6753.584,-700.409
17.419,6083.618,6787.615,-703.997
17.519,6119.389,6834.258,-714.869
17.619,6154.29,6875.791,-721.501
17.719,6187.016,6915.911,-728.895
17.82,6217.133,6951.573,-734.44
17.92,6246.38,6986.8,-740.42
18.02,6279.324,7021.266,-741.942
18.12,6319.444,7060.733,-741.289
18.22,6353.583,7101.614,-748.03
